Forecast timestamp;Position;Forecast base;Temperature;2 metre temperature;Total Precipitation;Relative humidity;Downward long-wave radiation flux;Downward short-wave radiation flux;Wind speed (gust);u-component of wind (gust);v-component of wind (gust);2 metre dewpoint temperature;Minimum temperature at 2 metres in the last 6 hours;Maximum temperature at 2 metres in the last 6 hours;Total Cloud Cover
2019-11-05T16:00:00+01:00;44.5,11.0;2019-11-05T01:00:00+01:00;13.620.507.812.500.000;9.063.577.270.507.830;199.609.375;9.363.031.959.533.690;18275193.0;5.531.136.000.000.000;28.856.860.771.775.200;17.060.089.111.328.100;-2.344.207.763.671.870;12.690.606.689.453.100;;;8.550.000.001
2019-11-05T16:00:00+01:00;44.5,12.0;2019-11-05T01:00:00+01:00;16.714.257.812.500.000;12.378.030.395.507.800;0.91015625;6.738.031.959.533.690;18449785.0;5.901.312.000.000.000;10.073.186.077.177.500;26.435.089.111.328.100;9.718.292.236.328.120;12.190.606.689.453.100;;;10.000.000.001
2019-11-05T16:00:00+01:00;45.5,10.5;2019-11-05T01:00:00+01:00;13.276.757.812.500.000;11.159.280.395.507.800;9.671.875;9.191.156.959.533.690;19477369.0;20.469.760.000.000.000;4.776.311.077.177.520;0.7997589111328125;-4.719.207.763.671.870;12.253.106.689.453.100;;;53.000.000.009.999.900
2019-11-05T16:00:00+01:00;45.5,12.0;2019-11-05T01:00:00+01:00;14.495.507.812.500.000;11.872.171.020.507.800;70.859.375;9.697.406.959.533.690;19344249.0;4.028.928.000.000.000;7.651.311.077.177.520;-44.814.910.888.671.800;-6.219.207.763.671.870;14.315.606.689.453.100;;;9.900.000.001
2019-11-05T16:00:00+01:00;45.0,10.5;2019-11-05T01:00:00+01:00;14.901.757.812.500.000;10.434.671.020.507.800;201.953.125;9.313.031.959.533.690;19638137.0;2.931.712.000.000.000;6.182.561.077.177.520;-27.002.410.888.671.800;5.562.042.236.328.120;13.315.606.689.453.100;;;53.000.000.009.999.900
2019-11-05T16:00:00+01:00;44.5,10.5;2019-11-05T01:00:00+01:00;13.151.757.812.500.000;7.305.764.770.507.830;556.640.625;6.850.531.959.533.690;17425273.0;7.321.600.000.000.000;13.354.436.077.177.500;8.049.758.911.132.810;10.655.792.236.328.100;8.190.606.689.453.140;;;25.500.000.009.999.900
2019-11-05T16:00:00+01:00;44.5,11.5;2019-11-05T01:00:00+01:00;18.558.007.812.500.000;10.036.233.520.507.800;0.17578125;7.319.281.959.533.690;18173305.0;7.998.976.000.000.000;6.041.936.077.177.520;48.310.089.111.328.100;-3.625.457.763.671.870;11.815.606.689.453.100;;;7.250.000.001
2019-11-06T07:00:00+01:00;45.5,10.5;2019-11-05T01:00:00+01:00;10.890.313.720.703.100;10.923.577.880.859.300;1.288.671.875;9.607.422.065.734.860;38924669.0;20.879.360.000.000.000;4.429.586.905.986.070;43.482.208.251.953.100;-0.756866455078125;10.331.231.689.453.100;;;58.000.000.009.999.900
2019-11-06T07:00:00+01:00;45.5,11.5;2019-11-05T01:00:00+01:00;9.921.563.720.703.140;9.642.327.880.859.390;146.171.875;9.998.047.065.734.860;38260093.0;12.892.160.000.000.000;17.420.869.059.860.700;-0.2142791748046875;-1.725.616.455.078.120;9.643.731.689.453.140;;;10.000.000.001
2019-11-06T07:00:00+01:00;45.5,11.0;2019-11-05T01:00:00+01:00;7.140.313.720.703.140;8.048.577.880.859.390;681.640.625;9.451.172.065.734.860;36057469.0;19.701.760.000.000.000;13.827.119.059.860.700;0.4419708251953125;-1.303.741.455.078.120;7.237.481.689.453.140;;;51.000.000.009.999.900
2019-11-06T07:00:00+01:00;45.5,12.0;2019-11-05T01:00:00+01:00;10.984.063.720.703.100;10.548.577.880.859.300;1.126.171.875;9.919.922.065.734.860;38902141.0;40.325.120.000.000.000;4.038.961.905.986.070;-34.330.291.748.046.800;2.118.133.544.921.870;10.424.981.689.453.100;;;10.000.000.001
2019-11-06T07:00:00+01:00;45.0,10.5;2019-11-05T01:00:00+01:00;10.140.313.720.703.100;10.392.327.880.859.300;216.015.625;9.776.172.065.734.860;38135165.0;29.972.480.000.000.000;11.327.119.059.860.700;0.2232208251953125;1.102.508.544.921.870;10.049.981.689.453.100;;;7.800.000.001
2019-11-06T07:00:00+01:00;45.0,11.5;2019-11-05T01:00:00+01:00;10.171.563.720.703.100;9.236.077.880.859.390;465.625;9.963.672.065.734.860;37583229.0;4.947.968.000.000.000;21.327.119.059.860.700;0.9107208251953125;1.930.633.544.921.870;9.174.981.689.453.140;;;9.950.000.001
2019-11-06T07:00:00+01:00;44.5,11.5;2019-11-05T01:00:00+01:00;9.046.563.720.703.140;8.798.577.880.859.390;1.234.375;8.632.422.065.734.860;34812285.0;8.044.544.000.000.000;26.952.119.059.860.700;0.6607208251953125;-2.616.241.455.078.120;6.643.731.689.453.140;;;9.700.000.001
2019-11-06T07:00:00+01:00;45.0,11.0;2019-11-05T01:00:00+01:00;11.327.813.720.703.100;11.048.577.880.859.300;621.875;9.638.672.065.734.860;38775165.0;4.333.568.000.000.000;29.295.869.059.860.700;28.794.708.251.953.100;-0.600616455078125;10.487.481.689.453.100;;;10.000.000.001
2019-11-06T07:00:00+01:00;45.0,12.5;2019-11-05T01:00:00+01:00;16.452.813.720.703.100;13.079.827.880.859.300;150.390.625;7.351.172.065.734.860;35930493.0;6.634.496.000.000.000;5.460.836.905.986.070;34.107.208.251.953.100;4.258.758.544.921.870;8.456.231.689.453.140;;;37.000.000.009.999.900
2019-11-06T07:00:00+01:00;44.5,10.5;2019-11-05T01:00:00+01:00;9.015.313.720.703.140;10.142.327.880.859.300;556.640.625;6.219.922.065.734.860;32083325.0;7.429.120.000.000.000;1.244.521.190.598.600;10.535.720.825.195.300;6.586.883.544.921.870;32.374.816.894.531.400;;;6.900.000.001
2019-11-06T07:00:00+01:00;44.5,12.5;2019-11-05T01:00:00+01:00;17.640.313.720.703.100;16.079.827.880.859.300;108.984.375;6.023.047.065.734.860;37091709.0;4.814.848.000.000.000;928.896.190.598.607;52.857.208.251.953.100;7.633.758.544.921.870;8.393.731.689.453.140;;;8.500.000.009.999.990
2019-11-06T07:00:00+01:00;45.5,12.5;2019-11-05T01:00:00+01:00;14.109.063.720.703.100;11.329.827.880.859.300;110.546.875;9.813.672.065.734.860;38517117.0;5.188.608.000.000.000;21.483.369.059.860.700;-19.017.791.748.046.800;-0.991241455078125;11.018.731.689.453.100;;;10.000.000.001
2019-11-06T07:00:00+01:00;45.0,12.0;2019-11-05T01:00:00+01:00;8.421.563.720.703.140;7.861.077.880.859.390;3.046.875;9.988.672.065.734.860;35742077.0;7.140.352.000.000.000;22.108.369.059.860.700;20.044.708.251.953.100;0.946258544921875;7.862.481.689.453.140;;;10.000.000.001
2019-11-06T07:00:00+01:00;44.5,11.0;2019-11-05T01:00:00+01:00;6.140.313.720.703.140;7.736.077.880.859.390;225.390.625;7.973.047.065.734.860;34399613.0;5.559.296.000.000.000;0.36708690598607063;-0.3392791748046875;0.133758544921875;4.456.231.689.453.140;;;10.000.000.001
2019-11-06T07:00:00+01:00;44.5,12.0;2019-11-05T01:00:00+01:00;10.390.313.720.703.100;12.486.077.880.859.300;205.078.125;6.298.047.065.734.860;35544445.0;5.910.528.000.000.000;7.476.461.905.986.070;20.669.708.251.953.100;7.196.258.544.921.870;5.643.731.689.453.140;;;17.500.000.009.999.900
2019-11-06T13:00:00+01:00;45.0,12.0;2019-11-05T01:00:00+01:00;16.892.922.973.632.800;14.360.620.117.187.500;31.796.875;8.361.756.801.605.220;43140831.0;11.363.328.000.000.000;69.165.876.833.721.900;-0.3776702880859375;-69.100.494.384.765.600;11.610.314.941.406.200;;;9.700.000.001
2019-11-06T13:00:00+01:00;45.5,10.5;2019-11-05T01:00:00+01:00;13.642.922.973.632.800;12.141.870.117.187.500;1.413.671.875;8.930.506.801.605.220;45970143.0;5.056.512.000.000.000;37.994.001.833.721.900;-34.401.702.880.859.300;16.055.755.615.234.300;10.454.064.941.406.200;;;9.000.000.001
2019-11-06T13:00:00+01:00;45.5,12.0;2019-11-05T01:00:00+01:00;17.486.672.973.632.800;13.673.120.117.187.500;113.203.125;8.536.756.801.605.220;46467807.0;7.949.312.000.000.000;40.728.376.833.721.900;22.942.047.119.140.600;-33.631.744.384.765.600;11.266.564.941.406.200;;;8.400.000.001
2019-11-06T13:00:00+01:00;45.5,11.0;2019-11-05T01:00:00+01:00;14.111.672.973.632.800;12.423.120.117.187.500;7.046.875;8.418.006.801.605.220;42726111.0;6.622.208.000.000.000;56.353.376.833.721.900;26.535.797.119.140.600;49.805.755.615.234.300;9.829.064.941.406.270;;;9.650.000.001
2019-11-06T13:00:00+01:00;45.0,11.0;2019-11-05T01:00:00+01:00;16.517.922.973.632.800;13.141.870.117.187.500;655.078.125;8.708.631.801.605.220;46175967.0;8.413.184.000.000.000;37.134.626.833.721.900;-17.370.452.880.859.300;-32.850.494.384.765.600;11.047.814.941.406.200;;;8.800.000.001
2019-11-06T13:00:00+01:00;45.5,11.5;2019-11-05T01:00:00+01:00;13.580.422.973.632.800;12.360.620.117.187.500;1.496.484.375;9.180.506.801.605.220;45934303.0;4.250.624.000.000.000;28.853.376.833.721.900;-11.589.202.880.859.300;-26.444.244.384.765.600;11.047.814.941.406.200;;;8.750.000.001
2019-11-06T13:00:00+01:00;45.5,12.5;2019-11-05T01:00:00+01:00;17.830.422.973.632.800;13.735.620.117.187.500;110.625;8.383.631.801.605.220;45913823.0;9.369.600.000.000.000;26.744.001.833.721.900;23.410.797.119.140.600;-13.006.744.384.765.600;11.047.814.941.406.200;;;52.000.000.009.999.900
2019-11-06T13:00:00+01:00;44.5,11.0;2019-11-05T01:00:00+01:00;14.392.922.973.632.800;11.204.370.117.187.500;22.734.375;8.205.506.801.605.220;41287391.0;9.165.824.000.000.000;39.244.001.833.721.900;23.098.297.119.140.600;-31.756.744.384.765.600;8.266.564.941.406.270;;;9.950.000.001
2019-11-06T13:00:00+01:00;44.5,10.5;2019-11-05T01:00:00+01:00;14.580.422.973.632.800;12.766.870.117.187.500;562.890.625;59.336.318.016.052.200;38630111.0;10.963.968.000.000.000;25.025.251.833.721.900;24.348.297.119.140.600;0.5899505615234375;5.047.814.941.406.270;;;10.000.000.001
2019-11-06T13:00:00+01:00;45.0,11.5;2019-11-05T01:00:00+01:00;15.080.422.973.632.800;13.204.370.117.187.500;481.640.625;8.799.256.801.605.220;45125343.0;8.581.120.000.000.000;47.447.126.833.721.900;-0.5964202880859375;-47.069.244.384.765.600;11.266.564.941.406.200;;;9.950.000.001
2019-11-06T13:00:00+01:00;44.5,11.5;2019-11-05T01:00:00+01:00;13.705.422.973.632.800;11.641.870.117.187.500;230.078.125;9.230.506.801.605.220;42158815.0;10.644.480.000.000.000;28.775.251.833.721.900;-0.3151702880859375;-28.631.744.384.765.600;10.422.814.941.406.200;;;26.000.000.009.999.900
2019-11-06T13:00:00+01:00;44.5,12.5;2019-11-05T01:00:00+01:00;17.642.922.973.632.800;16.735.620.117.187.500;1.103.125;6.696.131.801.605.220;43943647.0;10.177.536.000.000.000;83.072.126.833.722;12.317.047.119.140.600;8.214.950.561.523.430;10.547.814.941.406.200;;;9.550.000.001
2019-11-06T13:00:00+01:00;45.0,10.5;2019-11-05T01:00:00+01:00;17.080.422.973.632.800;12.954.370.117.187.500;2.421.875;8.589.881.801.605.220;45431519.0;6.980.608.000.000.000;49.478.376.833.721.900;-0.8620452880859375;48.712.005.615.234.300;10.641.564.941.406.200;;;7.750.000.001
2019-11-06T13:00:00+01:00;45.0,12.5;2019-11-05T01:00:00+01:00;17.580.422.973.632.800;17.298.120.117.187.500;15.078.125;55.336.318.016.052.200;42571487.0;12.466.176.000.000.000;97.056.501.833.722;62.473.297.119.140.600;74.337.005.615.234.300;8.266.564.941.406.270;;;8.150.000.001
2019-11-06T13:00:00+01:00;44.5,12.0;2019-11-05T01:00:00+01:00;18.017.922.973.632.800;17.360.620.117.187.500;251.953.125;56.336.318.016.052.200;42399455.0;11.222.016.000.000.000;113.853.376.833.722;63.723.297.119.140.600;9.433.700.561.523.430;8.610.314.941.406.270;;;8.550.000.001
2019-11-06T22:00:00+01:00;45.0,12.0;2019-11-05T01:00:00+01:00;9.473.352.050.781.270;10.314.630.126.953.100;4.078.125;967.526.912.689.209;53454765.0;12.664.832.000.000.000;4.796.281.315.386.290;36.474.761.962.890.600;-31.048.583.984.375;9.824.929.809.570.330;;;38.500.000.009.999.900
2019-11-06T22:00:00+01:00;44.5,11.0;2019-11-05T01:00:00+01:00;6.317.102.050.781.270;7.595.880.126.953.140;25.390.625;941.901.912.689.209;51268525.0;11.180.032.000.000.000;18.040.938.153.862.900;14.756.011.962.890.600;10.357.666.015.625;6.699.929.809.570.330;;;17.000.000.009.999.900
2019-11-06T22:00:00+01:00;44.5,11.5;2019-11-05T01:00:00+01:00;8.035.852.050.781.270;9.033.380.126.953.140;23.671.875;936.901.912.689.209;52151213.0;12.984.320.000.000.000;26.165.938.153.862.900;23.818.511.962.890.600;10.982.666.015.625;8.074.929.809.570.330;;;6.500.000.009.999.990
2019-11-06T22:00:00+01:00;45.5,10.5;2019-11-05T01:00:00+01:00;9.379.602.050.781.270;9.720.880.126.953.140;1.465.625;938.151.912.689.209;56534957.0;6.254.592.000.000.000;21.556.563.153.862.900;17.099.761.962.890.600;-13.079.833.984.375;8.762.429.809.570.330;;;44.500.000.009.999.900
2019-11-06T22:00:00+01:00;45.5,11.5;2019-11-05T01:00:00+01:00;8.567.102.050.781.270;9.252.130.126.953.140;15.453.125;976.276.912.689.209;56302509.0;5.623.808.000.000.000;14.915.938.153.862.900;0.7724761962890625;12.701.416.015.625;8.918.679.809.570.330;;;21.000.000.009.999.900
2019-11-06T22:00:00+01:00;45.5,12.5;2019-11-05T01:00:00+01:00;13.785.852.050.781.200;12.002.130.126.953.100;11.078.125;957.839.412.689.209;56310701.0;11.206.656.000.000.000;37.806.563.153.862.900;-0.4931488037109375;-37.454.833.984.375;11.356.179.809.570.300;;;61.000.000.009.999.900
2019-11-06T22:00:00+01:00;45.0,11.0;2019-11-05T01:00:00+01:00;9.285.852.050.781.270;9.908.380.126.953.140;69.453.125;970.339.412.689.209;56496045.0;9.887.744.000.000.000;27.181.563.153.862.900;27.099.761.962.890.600;0.1607666015625;9.449.929.809.570.330;;;31.000.000.009.999.900
2019-11-06T22:00:00+01:00;45.0,10.5;2019-11-05T01:00:00+01:00;7.879.602.050.781.270;8.658.380.126.953.140;24.375;981.901.912.689.209;55264173.0;9.308.160.000.000.000;24.212.813.153.862.900;20.693.511.962.890.600;12.545.166.015.625;8.387.429.809.570.330;;;31.000.000.009.999.900
2019-11-06T22:00:00+01:00;45.0,12.5;2019-11-05T01:00:00+01:00;16.442.102.050.781.200;13.752.130.126.953.100;303.125;867.214.412.689.209;53008301.0;13.928.448.000.000.000;4.046.281.315.386.290;38.506.011.962.890.600;-12.298.583.984.375;11.574.929.809.570.300;;;45.500.000.009.999.900
